"云A182JU","雪佛兰","1","180","3600","5"
"云A2U973","法拉利","1","200","4000","5"
"云D4L0D1","雪铁龙","1","200","4000","5"
"云DH7N71","林肯","1","180","3600","4"
"云E9O0G5","比亚迪","1","160","3200","5"
"云FR3E56","兰博基尼","1","170","3400","5"
"云G303X8","长城","1","160","3200","5"
"云G31Z43","捷豹","1","190","3800","5"
"云H165QX","宝马","1","170","3400","5"
"云H19WC4","奥迪","1","220","4400","5"
"云H50S77","比亚迪","1","160","3200","5"
"云L3IE43","福特","1","190","3800","5"
"云LE57D0","夏利","1","150","3000","5"
"云LJ3F29","沃克斯豪尔","1","210","4200","5"
"云LM57Q0","雪佛兰","1","180","3600","5"
"云M17529","一汽大众","1","150","3000","5"
"云Q2MM69","雪佛兰","1","180","3600","5"
"云Q73831","奥迪","1","220","4400","5"
"云Q7Q2U7","凯迪拉克","1","190","3800","5"
"云Q8JA89","奥迪","1","220","4400","5"
"云Q8L8T5","玛莎拉蒂","1","210","4200","5"
"云R 61O0Z","捷豹","1","190","3800","5"
"云R XT014","一汽大众","1","150","3000","5"
"京A6M30C","玛莎拉蒂","1","210","4200","5"
"京A96M0V","法拉利","1","200","4000","5"
"京B1QD35","比亚迪","1","160","3200","5"
"京BU8D23","捷豹","1","190","3800","5"
"京CR7V07","迈巴赫","1","210","4200","4"
"京E6QH80","比亚迪","1","160","3200","5"
"京EE76J5","奔驰","1","170","3400","5"
"京G25A9L","兰博基尼","1","170","3400","5"
"京H1WA15","凯迪拉克","1","190","3800","5"
"冀A27657","林肯","1","180","3600","5"
"冀D4256I","北京现代","1","160","3200","5"
"冀EY3W85","比亚迪","1","160","3200","5"
"冀G6BZ11","法拉利","1","200","4000","5"
"冀G8Q64D","雪佛兰","1","180","3600","5"
"冀RS38V1","凯迪拉克","1","190","3800","5"
"冀T32Z1M","沃克斯豪尔","1","210","4200","5"
"冀T4128N","林肯","1","180","3600","5"
"吉B06Q62","北京现代","1","160","3200","4"
"吉BG8O89","奥迪","1","220","4400","5"
"吉C06420","捷豹","1","190","3800","5"
"吉C3Y1M0","夏利","1","150","3000","5"
"吉D5974F","长城","1","160","3200","5"
"吉F7BP28","长城","1","160","3200","5"
"吉G1GW13","福特","1","190","3800","5"
"吉JZ90O5","比亚迪","1","160","3200","5"
"宁A36J56","雪铁龙","1","200","4000","5"
"宁A7M477","奔驰","1","170","3400","5"
